name,slug,city,status,matched_polygon,score
Cypress Creek Ranch,cypress-creek-ranch,Lake Travis,NEEDS_POLYGON,Cypress Creek,0.812
Cypress Mill,cypress-mill,Cedar Park,HAS_POLYGON,cypress-mill,1.0
Cypress Pointe,cypress-pointe,Lake Travis,HAS_POLYGON,cypress-pointe,1.0
Cypress Ridge,cypress-ridge,Austin,HAS_POLYGON,cypress-ridge,1.0
Daffin,daffin,Austin,NEEDS_POLYGON,Daffin Gin Park,0.571
Dan Jean Oaks,dan-jean-oaks,Austin,HAS_POLYGON,dan-jean-oaks,1.0
Davenport Ranch,davenport-ranch,West Lake Hills,HAS_POLYGON,davenport-ranch,1.0
Davenport Rim,davenport-rim,West Lake Hills,HAS_POLYGON,davenport-rim,1.0
Davis Hill Estates,davis-hill-estates,Austin,HAS_POLYGON,davis-hill-estates,1.0
Davis Spring,davis-spring,Round Rock,HAS_POLYGON,davis-spring,1.0
Dawson,dawson,Austin,HAS_POLYGON,dawson,1.0
Decker Creek Estates,decker-creek-estates,Manor,HAS_POLYGON,decker-creek-estates,1.0
Deep Eddy Heights,deep-eddy-heights,West Central Austin,HAS_POLYGON,deep-eddy-heights,1.0
Deepwood,deepwood,Round Rock,NEEDS_POLYGON,Delwood,0.8
Deer Creek Ranch,deer-creek-ranch,Cedar Park,HAS_POLYGON,deer-creek-ranch,1.0
Deer Haven,deer-haven,Austin,HAS_POLYGON,deer-haven,1.0
Deer Park at Maple Run,deer-park-at-maple-run,Austin,HAS_POLYGON,deer-park-at-maple-run,1.0
Deer Run,deer-run,Round Rock,NEEDS_POLYGON,Deer Park,0.706
Deerfield at Brodie,deerfield-at-brodie,Austin,NEEDS_POLYGON,Deerfield Park,0.727
Deerwood,deerwood,Austin,NEEDS_POLYGON,Delwood,0.8
Del Web's Sun City,del-webs-sun-city,Georgetown,NEEDS_POLYGON,Sun City,0.615
Dessau Estates,dessau-estates,Pflugerville,HAS_POLYGON,dessau-estates,1.0
Dorsett Oaks,dorsett-oaks,Austin,HAS_POLYGON,dorsett-oaks,1.0
Double Creek Village,double-creek-village,Austin,HAS_POLYGON,double-creek-village,1.0
Dove Creek,dove-creek,Round Rock,HAS_POLYGON,dove-creek,1.0
Downtown Austin,downtown-austin,Austin,HAS_POLYGON,downtown-austin,1.0
Downtown,downtown,Austin,HAS_POLYGON,downtown,1.0
Downtown Georgetown,downtown-georgetown,Georgetown,HAS_POLYGON,downtown-georgetown,1.0
Dripping Springs,dripping-springs,Texas,NEEDS_POLYGON,Dripping Springs Ranch,0.842
Duval Springs,duval-springs,Austin,HAS_POLYGON,duval-springs,1.0
Eagle Ridge,eagle-ridge,Round Rock,HAS_POLYGON,eagle-ridge,1.0
Eagle Ridge,eagle-ridge,Lake Travis,HAS_POLYGON,eagle-ridge,1.0
Eagles Glen,eagles-glen,Austin,NEEDS_POLYGON,Eagle Ridge,0.727
East,east,Austin,HAS_POLYGON,east,1.0
East Central,east-central,Austin,HAS_POLYGON,east-central,1.0
East Cesar Chavez,east-cesar-chavez,Austin,HAS_POLYGON,east-cesar-chavez,1.0
Eastridge Summit,eastridge-summit,Austin,NEEDS_POLYGON,Steiner Ranch Eastridge Summit,0.696
Eastridge Valley,eastridge-valley,Austin,NEEDS_POLYGON,Spring Valley,0.759
Eck Lane on the Lake,eck-lane-on-the-lake,Lake Travis,HAS_POLYGON,eck-lane-on-the-lake,1.0
Ed Bluestein,ed-bluestein,Austin,NEEDS_POLYGON,Painted Bunting,0.593
Edgewater Beach,edgewater-beach,Lake Travis,HAS_POLYGON,edgewater-beach,1.0
Edinburgh Gardens,edinburgh-gardens,Austin,HAS_POLYGON,edinburgh-gardens,1.0
Egger Acres,egger-acres,Round Rock,HAS_POLYGON,egger-acres,1.0
Elm Wood Estates,elm-wood-estates,Austin,HAS_POLYGON,elm-wood-estates,1.0
Elmwood Park,elmwood-park,Austin,NEEDS_POLYGON,Lakewood Park,0.8
Emerald Point,emerald-point,Lake Travis,HAS_POLYGON,emerald-point,1.0
Emory Farms,emory-farms,Hutto,HAS_POLYGON,emory-farms,1.0
Enclave at the Villages of Spicewood,enclave-at-the-villages-of-spicewood,Austin,HAS_POLYGON,enclave-at-the-villages-of-spicewood,1.0
Escalera Ranch,escalera-ranch,Georgetown,HAS_POLYGON,escalera-ranch,1.0
Esquel,esquel,Austin,NEEDS_POLYGON,Este,0.6
Estates at Edgewater Beach,estates-at-edgewater-beach,Lake Travis,NEEDS_POLYGON,Edgewater Beach,0.732
Estates at Settlers Park,estates-at-settlers-park,Round Rock,HAS_POLYGON,estates-at-settlers-park,1.0
Estates at Westlake,estates-at-westlake,Austin,HAS_POLYGON,estates-at-westlake,1.0
Estates of Bauerle Ranch,estates-of-bauerle-ranch,Austin,HAS_POLYGON,estates-of-bauerle-ranch,1.0
Estates of Brentwood,estates-of-brentwood,Austin,HAS_POLYGON,estates-of-brentwood,1.0
Estates of North Creek Ranch,estates-of-north-creek-ranch,Leander,NEEDS_POLYGON,North Creek Ranch,0.756
Estates of Rowe Lane,estates-of-rowe-lane,Pflugerville,NEEDS_POLYGON,Estates of Westlake,0.821
Estates of Westlake,estates-of-westlake,Georgetown,HAS_POLYGON,estates-of-westlake,1.0
Estrella Crossing,estrella-crossing,Georgetown,NEEDS_POLYGON,Steeds Crossing,0.75
Eubank Acres,eubank-acres,Austin,HAS_POLYGON,eubank-acres,1.0
Fairways at Crystal Falls,fairways-at-crystal-falls,Leander,HAS_POLYGON,fairways-at-crystal-falls,1.0
Falcon Oaks,falcon-oaks,Leander,HAS_POLYGON,falcon-oaks,1.0
Falcon Pointe,falcon-pointe,Pflugerville,HAS_POLYGON,falcon-pointe,1.0
Ferguson Crossing,ferguson-crossing,Austin,HAS_POLYGON,ferguson-crossing,1.0
Fern Bluff,fern-bluff,Round Rock,HAS_POLYGON,fern-bluff,1.0
Five Oaks Park North,five-oaks-park-north,Austin,HAS_POLYGON,five-oaks-park-north,1.0
Flat Creek,flat-creek,Lake Travis,NEEDS_POLYGON,Lost Creek,0.8
Flint Valley,flint-valley,Lake Travis,NEEDS_POLYGON,Lost Valley,0.783
Flintrock at Hurst Creek,flintrock-at-hurst-creek,Lake Travis,NEEDS_POLYGON,Block House Creek,0.683
Flower Hill,flower-hill,Round Rock,HAS_POLYGON,flower-hill,1.0
Ford Oaks,ford-oaks,Austin,HAS_POLYGON,ford-oaks,1.0
Forest Bluff,forest-bluff,Manor,HAS_POLYGON,forest-bluff,1.0
Forest Bluffs,forest-bluffs,Round Rock,HAS_POLYGON,forest-bluffs,1.0
Forest Creek,forest-creek,Round Rock,HAS_POLYGON,forest-creek,1.0
