name,slug,city,status,matched_polygon,score
Village at Volente,village-at-volente,Lake Travis,NEEDS_POLYGON,Village at Treemont,0.757
Vista Del Pueblo,vista-del-pueblo,Austin,NEEDS_POLYGON,Vista Ridge Oaks,0.625
Vista Heights,vista-heights,Round Rock,NEEDS_POLYGON,Travis Heights,0.815
Vista Mesa Estates,vista-mesa-estates,Leander,NEEDS_POLYGON,Vista Ridge Estates,0.811
Warehouse District,warehouse-district,Austin,NEEDS_POLYGON,Hawthorne at the District,0.605
Watersedge at River Place,watersedge-at-river-place,Austin,NEEDS_POLYGON,Waters Edge Avery Ranch,0.75
Werkenthin,werkenthin,Austin,NEEDS_POLYGON,Westwind,0.556
West Park Street,west-park-street,Cedar Park,NEEDS_POLYGON,West Park Estates,0.788
Westminster,westminster,,NEEDS_POLYGON,Westminster Glen,0.815
Westside Preserve,westside-preserve,Cedar Park,NEEDS_POLYGON,The Preserve,0.759
Westview Acres,westview-acres,Round Rock,NEEDS_POLYGON,Mountview Acres,0.759
Westwood Heights,westwood-heights,Austin,NEEDS_POLYGON,Delwood Heights,0.839
Westwood Villas,westwood-villas,Austin,NEEDS_POLYGON,Brentwood Villas,0.839
William Cannon Joint Venture,william-cannon-joint-venture,Austin,NEEDS_POLYGON,William Cannon,0.667
Williams Addition,williams-addition,Georgetown,NEEDS_POLYGON,Wallace Addition,0.788
Wimberley,wimberley,TX,NEEDS_POLYGON,Wimberley Lane,0.783
Windcrest Crossing,windcrest-crossing,Austin,NEEDS_POLYGON,Wind River Crossing,0.811
Woodlake,woodlake,Georgetown,NEEDS_POLYGON,Woodlawn,0.75
Woodlake Trails,woodlake-trails,Austin,NEEDS_POLYGON,Lake Travis,0.769
Wuthrich Hill Farms,wuthrich-hill-farms,Pflugerville,NEEDS_POLYGON,Churchill Farms,0.706
Yellow Sage,yellow-sage,Pflugerville,NEEDS_POLYGON,Hollow Estates,0.64
